TraceFinder Compound Database Export,Schema Version 1,,,,,,,,,,,,,,,,,,
,,,,,,,PEAK 1,,,,,,,,,,PEAK 1 CONFIRMINGS,,
1-Methylhistidine M4,XIC,C7H11N3O6,Metabolomics,,ESI,5000,,174.1058,M+H,+,1,8.2,60,,40,,,170.0924,0
1-Methylhistidine M5,XIC,C7H11N3O7,Metabolomics,,ESI,5000,,175.10915,M+H,+,1,8.2,60,,40,,,170.0924,0
1-Methylhistidine M6,XIC,C7H11N3O8,Metabolomics,,ESI,5000,,176.1125,M+H,+,1,8.2,60,,40,,,170.0924,0
1-Methylhistidine M7,XIC,C7H11N3O9,Metabolomics,,ESI,5000,,177.11585,M+H,+,1,8.2,60,,40,,,170.0924,0
2-Aminoadipate M0,XIC,C6H11NO4,Metabolomics,,ESI,5000,,162.07608,M+H,+,1,7.3,60,,40,,,,
2-Aminoadipate M1,XIC,C6H11NO5,Metabolomics,,ESI,5000,,163.07943,M+H,+,1,7.3,60,,40,,,162.07608,0
2-Aminoadipate M2,XIC,C6H11NO6,Metabolomics,,ESI,5000,,164.08278,M+H,+,1,7.3,60,,40,,,162.07608,0
2-Aminoadipate M3,XIC,C6H11NO7,Metabolomics,,ESI,5000,,165.08613,M+H,+,1,7.3,60,,40,,,162.07608,0
2-Aminoadipate M4,XIC,C6H11NO8,Metabolomics,,ESI,5000,,166.08948,M+H,+,1,7.3,60,,40,,,162.07608,0
2-Aminoadipate M5,XIC,C6H11NO9,Metabolomics,,ESI,5000,,167.09283,M+H,+,1,7.3,60,,40,,,162.07608,0
2-Aminoadipate M6,XIC,C6H11NO10,Metabolomics,,ESI,5000,,168.09618,M+H,+,1,7.3,60,,40,,,162.07608,0
"2,3-Diphosphoglycerate M0",XIC,C3H8O10P2,Metabolomics,,ESI,5000,,264.95199,M-H,-,1,23.82,60,,40,,,,
2-DG M0,XIC,C6H12O5,Metabolomics,,ESI,5000,,163.0612,M-H,-,1,23.82,60,,40,,,,
2-DG 6P M0,XIC,C6H14O8P,Metabolomics,,ESI,5000,,244.03535,M-H,-,1,23.82,60,,40,,,,
2-Hydroxybutyrate M0,XIC,C4H8O3,Metabolomics,,ESI,5000,,103.04007,M-H,-,1,9.7,60,,40,,,,
2-Hydroxybutyrate M1,XIC,C4H8O4,Metabolomics,,ESI,5000,,104.04342,M-H,-,1,9.7,60,,40,,,103.04007,0
2-Hydroxybutyrate M2,XIC,C4H8O5,Metabolomics,,ESI,5000,,105.04677,M-H,-,1,9.7,60,,40,,,103.04007,0
2-Hydroxybutyrate M3,XIC,C4H8O6,Metabolomics,,ESI,5000,,106.05012,M-H,-,1,9.7,60,,40,,,103.04007,0
2-Hydroxybutyrate M4,XIC,C4H8O7,Metabolomics,,ESI,5000,,107.05347,M-H,-,1,9.7,60,,40,,,103.04007,0
2-HG M0,XIC,C5H8O5,Metabolomics,,ESI,5000,,147.0299,M-H,-,1,16.4,60,,40,,,,
2-HG M1,XIC,C5H8O5,Metabolomics,,ESI,5000,,148.03325,M-H,-,1,16.4,60,,40,,,147.0299,0
2-HG M2,XIC,C5H8O5,Metabolomics,,ESI,5000,,149.0366,M-H,-,1,16.4,60,,40,,,147.0299,0
2-HG M3,XIC,C5H8O5,Metabolomics,,ESI,5000,,150.03995,M-H,-,1,16.4,60,,40,,,147.0299,0
2-HG M4,XIC,C5H8O5,Metabolomics,,ESI,5000,,151.0433,M-H,-,1,16.4,60,,40,,,147.0299,0
2-HG M5,XIC,C5H8O5,Metabolomics,,ESI,5000,,152.04665,M-H,-,1,16.4,60,,40,,,147.0299,0
2-Ketobutyric Acid M0,XIC,C4H6O3,Metabolomics,,ESI,5000,,101.02442,M-H,-,1,10.4,60,,40,,,,
2-Ketobutyric Acid M1,XIC,C4H6O3,Metabolomics,,ESI,5000,,102.02777,M-H,-,1,10.4,60,,40,,,101.02442,0
2-Ketobutyric Acid M2,XIC,C4H6O3,Metabolomics,,ESI,5000,,103.03112,M-H,-,1,10.4,60,,40,,,101.02442,0
2-Ketobutyric Acid M3,XIC,C4H6O3,Metabolomics,,ESI,5000,,104.03447,M-H,-,1,10.4,60,,40,,,101.02442,0
2-Ketobutyric Acid M4,XIC,C4H6O3,Metabolomics,,ESI,5000,,105.03782,M-H,-,1,10.4,60,,40,,,101.02442,0
2-Ketoisocaproic Acid M0,XIC,C6H10O3,Metabolomics,,ESI,5000,,129.05572,M-H,-,1,8.9,60,,40,,,,
2-Ketoisocaproic Acid M1,XIC,C6H10O3,Metabolomics,,ESI,5000,,130.05907,M-H,-,1,8.9,60,,40,,,129.05572,0
2-Ketoisocaproic Acid M2,XIC,C6H10O3,Metabolomics,,ESI,5000,,131.06242,M-H,-,1,8.9,60,,40,,,129.05572,0
2-Ketoisocaproic Acid M3,XIC,C6H10O3,Metabolomics,,ESI,5000,,132.06577,M-H,-,1,8.9,60,,40,,,129.05572,0
2-Ketoisocaproic Acid M4,XIC,C6H10O3,Metabolomics,,ESI,5000,,133.06912,M-H,-,1,8.9,60,,40,,,129.05572,0
2-Ketoisocaproic Acid M5,XIC,C6H10O3,Metabolomics,,ESI,5000,,134.07247,M-H,-,1,8.9,60,,40,,,129.05572,0
2-Ketoisocaproic Acid M6,XIC,C6H10O3,Metabolomics,,ESI,5000,,135.07582,M-H,-,1,8.9,60,,40,,,129.05572,0
2-Oxoadipate M0,XIC,C6H8O5,Metabolomics,,ESI,5000,,159.0299,M-H,-,1,7.7,60,,40,,,,
2-Oxosuccinamate M0,XIC,C4H5NO4,Metabolomics,,ESI,5000,,130.01458,M-H,-,1,8.69,60,,40,,,,
2-Oxosuccinamate M1,XIC,C4H5NO4,Metabolomics,,ESI,5000,,131.01793,M-H,-,1,8.69,60,,40,,,130.01458,0
2-Oxosuccinamate M2,XIC,C4H5NO4,Metabolomics,,ESI,5000,,132.02128,M-H,-,1,8.69,60,,40,,,130.01458,0
2-Oxosuccinamate M3,XIC,C4H5NO4,Metabolomics,,ESI,5000,,133.02463,M-H,-,1,8.69,60,,40,,,130.01458,0
2-Oxosuccinamate M4,XIC,C4H5NO4,Metabolomics,,ESI,5000,,134.02798,M-H,-,1,8.69,60,,40,,,130.01458,0
3-Hydroxybutyrate M0,XIC,C4H8O3,Metabolomics,,ESI,5000,,103.04007,M-H,-,1,10.5,60,,40,,,,0
3-Hydroxybutyrate M1,XIC,C4H8O3,Metabolomics,,ESI,5000,,104.04342,M-H,-,1,10.5,60,,40,,,103.04007,0
3-Hydroxybutyrate M2,XIC,C4H8O3,Metabolomics,,ESI,5000,,105.04677,M-H,-,1,10.5,60,,40,,,103.04007,0
3-Hydroxybutyrate M3,XIC,C4H8O3,Metabolomics,,ESI,5000,,106.05012,M-H,-,1,10.5,60,,40,,,103.04007,0
3-Hydroxybutyrate M4,XIC,C4H8O3,Metabolomics,,ESI,5000,,107.05347,M-H,-,1,10.5,60,,40,,,103.04007,0
3-Phosphoglycerate M0,XIC,C3H7O7P,Metabolomics,,ESI,5000,,184.98566,M-H,-,1,16.5,60,,40,,,,
3-Phosphoglycerate M1,XIC,C3H7O7P,Metabolomics,,ESI,5000,,185.98901,M-H,-,1,16.5,60,,40,,,184.98566,0
3-Phosphoglycerate M2,XIC,C3H7O7P,Metabolomics,,ESI,5000,,186.99236,M-H,-,1,16.5,60,,40,,,184.98566,0
3-Phosphoglycerate M3,XIC,C3H7O7P,Metabolomics,,ESI,5000,,187.99571,M-H,-,1,16.5,60,,40,,,184.98566,0
4-Pyridoxic acid M0,XIC,C8H9NO4,Metabolomics,,ESI,5000,,182.04588,M-H,-,1,5.53,60,,40,,,,
5'-Methylthioadenosine M0,XIC,C11H15N5O3S,Metabolomics,,ESI,5000,,298.09684,M-H,+,1,9.2,60,,40,,,,
Oxoproline M0,XIC,C5H7NO3,Metabolomics,,ESI,5000,,128.03532,M-H,-,1,9.2,60,,40,,,,
Oxoproline M1,XIC,C5H7NO3,Metabolomics,,ESI,5000,,129.03867,M-H,-,1,9.2,60,,40,,,128.03532,0
Oxoproline M2,XIC,C5H7NO3,Metabolomics,,ESI,5000,,130.04202,M-H,-,1,9.2,60,,40,,,128.03532,0
Oxoproline M3,XIC,C5H7NO3,Metabolomics,,ESI,5000,,131.04537,M-H,-,1,9.2,60,,40,,,128.03532,0
Oxoproline M4,XIC,C5H7NO3,Metabolomics,,ESI,5000,,132.04872,M-H,-,1,9.2,60,,40,,,128.03532,0
Oxoproline M5,XIC,C5H7NO3,Metabolomics,,ESI,5000,,133.05207,M-H,-,1,9.2,60,,40,,,128.03532,0
"5,6-Dihydro-UTP M0",XIC,C9H17N2O15P3,Metabolomics,,ESI,5000,,484.9769,M-H,-,1,22.3,60,,40,,,,
6-Hydroxynicotinic acid M0,XIC,C6H5NO3,Metabolomics,,ESI,5000,,138.01967,M-H,-,1,4.81,60,,40,,,,
6-Phosphogluconate M0,XIC,C6H12O10P,Metabolomics,,ESI,5000,,274.00953,M-H,-,1,0,60,,,,,,
6-Phosphogluconate M1,XIC,C6H12O10P,Metabolomics,,ESI,5000,,275.01288,M-H,-,1,0,60,,,,,274.00953,0
6-Phosphogluconate M2,XIC,C6H12O10P,Metabolomics,,ESI,5000,,276.01623,M-H,-,1,0,60,,,,,274.00953,0
6-Phosphogluconate M3,XIC,C6H12O10P,Metabolomics,,ESI,5000,,277.01958,M-H,-,1,0,60,,,,,274.00953,0
6-Phosphogluconate M4,XIC,C6H12O10P,Metabolomics,,ESI,5000,,278.02293,M-H,-,1,0,60,,,,,274.00953,0
6-Phosphogluconate M5,XIC,C6H12O10P,Metabolomics,,ESI,5000,,279.02628,M-H,-,1,0,60,,,,,274.00953,0
6-Phosphogluconate M6,XIC,C6H12O10P,Metabolomics,,ESI,5000,,280.02963,M-H,-,1,0,60,,,,,274.00953,0
A M0,XIC,C10H13N5O4,Metabolomics,,ESI,5000,,268.10403,M+H,+,1,4.8,60,,40,,,136.06177,0
A N1,XIC,C10H13N5O5,Metabolomics,,ESI,5000,,269.10106,M+H,+,1,4.8,60,,40,,,136.06177,0
A N2,XIC,C10H13N5O6,Metabolomics,,ESI,5000,,270.09809,M+H,+,1,4.8,60,,40,,,136.06177,0
A N3,XIC,C10H13N5O7,Metabolomics,,ESI,5000,,271.09512,M+H,+,1,4.8,60,,40,,,136.06177,0
A N4,XIC,C10H13N5O8,Metabolomics,,ESI,5000,,272.09215,M+H,+,1,4.8,60,,40,,,136.06177,0
A N5,XIC,C10H13N5O9,Metabolomics,,ESI,5000,,273.08918,M+H,+,1,4.8,60,,40,,,136.06177,0
A M1,XIC,C10H13N5O4,Metabolomics,,ESI,5000,,269.10738,M+H,+,1,4.8,60,,40,,,268.10403,0
A M10,XIC,C10H13N5O4,Metabolomics,,ESI,5000,,278.13753,M+H,+,1,4.8,60,,40,,,268.10403,0
A M2,XIC,C10H13N5O4,Metabolomics,,ESI,5000,,270.11073,M+H,+,1,4.8,60,,40,,,268.10403,0
A M3,XIC,C10H13N5O4,Metabolomics,,ESI,5000,,271.11408,M+H,+,1,4.8,60,,40,,,268.10403,0
A M4,XIC,C10H13N5O4,Metabolomics,,ESI,5000,,272.11743,M+H,+,1,4.8,60,,40,,,268.10403,0
A M5,XIC,C10H13N5O4,Metabolomics,,ESI,5000,,273.6078,M+H,+,1,4.8,60,,40,,,268.10403,0
A M6,XIC,C10H13N5O4,Metabolomics,,ESI,5000,,274.12413,M+H,+,1,4.8,60,,40,,,268.10403,0
A M7,XIC,C10H13N5O4,Metabolomics,,ESI,5000,,275.12748,M+H,+,1,4.8,60,,40,,,268.10403,0
A M8,XIC,C10H13N5O4,Metabolomics,,ESI,5000,,276.13083,M+H,+,1,4.8,60,,40,,,268.10403,0
A M9,XIC,C10H13N5O4,Metabolomics,,ESI,5000,,277.13418,M+H,+,1,4.8,60,,40,,,268.10403,0
Acetoacetic acid M0,XIC,C4H6O3,Metabolomics,,ESI,5000,,101.02442,M-H,-,1,8.2,60,,40,,,,
Acetoacetic acid M1,XIC,C4H6O3,Metabolomics,,ESI,5000,,102.02777,M-H,-,1,8.2,60,,40,,,101.02442,0
Acetoacetic acid M2,XIC,C4H6O3,Metabolomics,,ESI,5000,,103.03112,M-H,-,1,8.2,60,,40,,,101.02442,0
Acetoacetic acid M3,XIC,C4H6O3,Metabolomics,,ESI,5000,,104.03447,M-H,-,1,8.2,60,,40,,,101.02442,0
Acetoacetic acid M4,XIC,C4H6O3,Metabolomics,,ESI,5000,,105.03782,M-H,-,1,8.2,60,,40,,,101.02442,0
Acetylcarnitine M0,XIC,C9H17NO4,Metabolomics,,ESI,5000,,204.12303,M+H,+,1,4.65,60,,40,,,,
Acetylcarnitine N1,XIC,C9H17NO5,Metabolomics,,ESI,5000,,205.6006,M+H,+,1,4.65,60,,40,,,,
Acetylcarnitine M1,XIC,C9H17NO4,Metabolomics,,ESI,5000,,205.12638,M+H,+,1,4.65,60,,40,,,204.12303,0
Acetylcarnitine M2,XIC,C9H17NO4,Metabolomics,,ESI,5000,,206.12973,M+H,+,1,4.65,60,,40,,,204.12303,0
Acetylcarnitine M3,XIC,C9H17NO4,Metabolomics,,ESI,5000,,207.13308,M+H,+,1,4.65,60,,40,,,204.12303,0
Acetylcarnitine M4,XIC,C9H17NO4,Metabolomics,,ESI,5000,,208.13643,M+H,+,1,4.65,60,,40,,,204.12303,0
Acetylcarnitine M5,XIC,C9H17NO4,Metabolomics,,ESI,5000,,209.13978,M+H,+,1,4.65,60,,40,,,204.12303,0
Acetylcarnitine M6,XIC,C9H17NO4,Metabolomics,,ESI,5000,,210.14313,M+H,+,1,4.65,60,,40,,,204.12303,0
Acetylcarnitine M7,XIC,C9H17NO5,Metabolomics,,ESI,5000,,211.14648,M+H,+,1,4.65,60,,40,,,204.12303,0
Acetylcarnitine M8,XIC,C9H17NO6,Metabolomics,,ESI,5000,,212.14983,M+H,+,1,4.65,60,,40,,,204.12303,0
Acetylcarnitine M9,XIC,C9H17NO7,Metabolomics,,ESI,5000,,213.15318,M+H,+,1,4.65,60,,40,,,204.12303,0
Acetylcholine M0,XIC,C7H15NO2,Metabolomics,,ESI,5000,,146.11756,M+H,+,1,8.3,60,,40,,,,
Acetylcholine N1,XIC,C7H15NO3,Metabolomics,,ESI,5000,,147.11459,M+H,+,1,8.3,60,,40,,,,
Acetylcholine M1,XIC,C7H15NO2,Metabolomics,,ESI,5000,,147.6091,M+H,+,1,8.3,60,,40,,,146.11756,0
Acetylcholine M2,XIC,C7H15NO2,Metabolomics,,ESI,5000,,148.12426,M+H,+,1,8.3,60,,40,,,146.11756,0
Acetylcholine M3,XIC,C7H15NO2,Metabolomics,,ESI,5000,,149.12761,M+H,+,1,8.3,60,,40,,,146.11756,0
Acetylcholine M4,XIC,C7H15NO2,Metabolomics,,ESI,5000,,150.13096,M+H,+,1,8.3,60,,40,,,146.11756,0
Acetylcholine M5,XIC,C7H15NO2,Metabolomics,,ESI,5000,,151.13431,M+H,+,1,8.3,60,,40,,,146.11756,0
Acetylcholine M6,XIC,C7H15NO2,Metabolomics,,ESI,5000,,152.13766,M+H,+,1,8.3,60,,40,,,146.11756,0
Acetylcholine M7,XIC,C7H15NO3,Metabolomics,,ESI,5000,,153.14101,M+H,+,1,8.3,60,,40,,,146.11756,0
Acetyl-CoA M0,XIC,C23H38N7O17P3S,Metabolomics,,ESI,5000,,810.13305,M+H,+,1,18,60,,40,,,,
Acetyl-CoA M1,XIC,C23H38N7O17P3S,Metabolomics,,ESI,5000,,811.1364,M+H,+,1,18,60,,40,,,810.13305,0
Acetyl-CoA M10,XIC,C23H38N7O17P3S,Metabolomics,,ESI,5000,,820.16655,M+H,+,1,18,60,,40,,,810.13305,0
Acetyl-CoA M2,XIC,C23H38N7O17P3S,Metabolomics,,ESI,5000,,812.13975,M+H,+,1,18,60,,40,,,810.13305,0
Acetyl-CoA M3,XIC,C23H38N7O17P3S,Metabolomics,,ESI,5000,,813.1431,M+H,+,1,18,60,,40,,,810.13305,0
Acetyl-CoA M4,XIC,C23H38N7O17P3S,Metabolomics,,ESI,5000,,814.14645,M+H,+,1,18,60,,40,,,810.13305,0
Acetyl-CoA M5,XIC,C23H38N7O17P3S,Metabolomics,,ESI,5000,,815.1498,M+H,+,1,18,60,,40,,,810.13305,0
Acetyl-CoA M6,XIC,C23H38N7O17P3S,Metabolomics,,ESI,5000,,816.15315,M+H,+,1,18,60,,40,,,810.13305,0
Acetyl-CoA M7,XIC,C23H38N7O17P3S,Metabolomics,,ESI,5000,,817.1565,M+H,+,1,18,60,,40,,,810.13305,0
Acetyl-CoA M8,XIC,C23H38N7O17P3S,Metabolomics,,ESI,5000,,818.15985,M+H,+,1,18,60,,40,,,810.13305,0
Acetyl-CoA M9,XIC,C23H38N7O17P3S,Metabolomics,,ESI,5000,,819.1632,M+H,+,1,18,60,,40,,,810.13305,0
Acetylphosphate M0,XIC,C2H5O5P,Metabolomics,,ESI,5000,,138.98018,M-H,-,1,14,60,,40,,,,
Aconitic acid M0,XIC,C6H6O6,Metabolomics,,ESI,5000,,173.00916,M-H,-,1,17.7,60,,40,,,,
Aconitic acid M1,XIC,C6H6O6,Metabolomics,,ESI,5000,,174.01251,M-H,-,1,17.7,60,,40,,,173.00916,0
Aconitic acid M2,XIC,C6H6O6,Metabolomics,,ESI,5000,,175.01586,M-H,-,1,17.7,60,,40,,,173.00916,0
Aconitic acid M3,XIC,C6H6O6,Metabolomics,,ESI,5000,,176.01921,M-H,-,1,17.7,60,,40,,,173.00916,0
Aconitic acid M4,XIC,C6H6O6,Metabolomics,,ESI,5000,,177.02256,M-H,-,1,17.7,60,,40,,,173.00916,0
Aconitic acid M5,XIC,C6H6O6,Metabolomics,,ESI,5000,,178.02591,M-H,-,1,17.7,60,,40,,,173.00916,0
Aconitic acid M6,XIC,C6H6O6,Metabolomics,,ESI,5000,,179.02926,M-H,-,1,17.7,60,,40,,,173.00916,0
Adenine M0,XIC,C5H5N5,Metabolomics,,ESI,5000,,136.06177,M+H,+,1,5.8,60,,40,,,,
Adenine N1,XIC,C5H5N6,Metabolomics,,ESI,5000,,137.0588,M+H,+,1,5.8,60,,40,,,,
Adenine N2,XIC,C5H5N7,Metabolomics,,ESI,5000,,138.05583,M+H,+,1,5.8,60,,40,,,,
Adenine N3,XIC,C5H5N8,Metabolomics,,ESI,5000,,139.05286,M+H,+,1,5.8,60,,40,,,,
Adenine N4,XIC,C5H5N9,Metabolomics,,ESI,5000,,140.04989,M+H,+,1,5.8,60,,40,,,,
Adenine N5,XIC,C5H5N10,Metabolomics,,ESI,5000,,141.04692,M+H,+,1,5.8,60,,40,,,,
Adenine M1,XIC,C5H5N5,Metabolomics,,ESI,5000,,137.06512,M+H,+,1,5.8,60,,40,,,136.06177,0
Adenine M2,XIC,C5H5N5,Metabolomics,,ESI,5000,,138.06847,M+H,+,1,5.8,60,,40,,,136.06177,0
Adenine M3,XIC,C5H5N5,Metabolomics,,ESI,5000,,139.07182,M+H,+,1,5.8,60,,40,,,136.06177,0
Adenine M4,XIC,C5H5N5,Metabolomics,,ESI,5000,,140.07517,M+H,+,1,5.8,60,,40,,,136.06177,0
Adenine M5,XIC,C5H5N5,Metabolomics,,ESI,5000,,141.07852,M+H,+,1,5.8,60,,40,,,136.06177,0
Adipic Acid M0,XIC,C6H10O4,Metabolomics,,ESI,5000,,145.05063,M-H,-,1,13.8,60,,40,,,,
3-Methyladipic Acid M0,XIC,C7H12O4,Metabolomics,,ESI,5000,,159.06628,M-H,-,1,13.8,60,,40,,,,
ADP M0,XIC,C10H15N5O10P2,Metabolomics,,ESI,5000,,426.02214,M-H,-,1,18,60,,40,,,,
ADP N1,XIC,C10H15N5O10P3,Metabolomics,,ESI,5000,,427.01917,M-H,-,1,18,60,,40,,,,
ADP N2,XIC,C10H15N5O10P4,Metabolomics,,ESI,5000,,428.0162,M-H,-,1,18,60,,40,,,,
ADP N3,XIC,C10H15N5O10P5,Metabolomics,,ESI,5000,,429.01323,M-H,-,1,18,60,,40,,,,
ADP N4,XIC,C10H15N5O10P6,Metabolomics,,ESI,5000,,430.01026,M-H,-,1,18,60,,40,,,,
ADP N5,XIC,C10H15N5O10P7,Metabolomics,,ESI,5000,,431.00729,M-H,-,1,18,60,,40,,,,
ADP M1,XIC,C10H15N5O10P2,Metabolomics,,ESI,5000,,427.02549,M-H,-,1,18,60,,40,,,426.02214,0
ADP M10,XIC,C10H15N5O10P2,Metabolomics,,ESI,5000,,436.05564,M-H,-,1,18,60,,40,,,426.02214,0
ADP M2,XIC,C10H15N5O10P2,Metabolomics,,ESI,5000,,428.02884,M-H,-,1,18,60,,40,,,426.02214,0
ADP M3,XIC,C10H15N5O10P2,Metabolomics,,ESI,5000,,429.03219,M-H,-,1,18,60,,40,,,426.02214,0
ADP M4,XIC,C10H15N5O10P2,Metabolomics,,ESI,5000,,430.03554,M-H,-,1,18,60,,40,,,426.02214,0
ADP M5,XIC,C10H15N5O10P2,Metabolomics,,ESI,5000,,431.03889,M-H,-,1,18,60,,40,,,426.02214,0
ADP M6,XIC,C10H15N5O10P2,Metabolomics,,ESI,5000,,432.04224,M-H,-,1,18,60,,40,,,426.02214,0
ADP M7,XIC,C10H15N5O10P2,Metabolomics,,ESI,5000,,433.04559,M-H,-,1,18,60,,40,,,426.02214,0
ADP M8,XIC,C10H15N5O10P2,Metabolomics,,ESI,5000,,434.04894,M-H,-,1,18,60,,40,,,426.02214,0
ADP M9,XIC,C10H15N5O10P2,Metabolomics,,ESI,5000,,435.05229,M-H,-,1,18,60,,40,,,426.02214,0
a-Ketoglutarate M0,XIC,C5H6O5,Metabolomics,,ESI,5000,,145.01425,M-H,-,1,16.61,60,,40,,,101.0231,0
a-Ketoglutarate M1,XIC,C5H6O5,Metabolomics,,ESI,5000,,146.0176,M-H,-,1,16.61,60,,40,,,145.01425,0
a-Ketoglutarate M2,XIC,C5H6O5,Metabolomics,,ESI,5000,,147.02095,M-H,-,1,16.61,60,,40,,,145.01425,0
a-Ketoglutarate M3,XIC,C5H6O5,Metabolomics,,ESI,5000,,148.0243,M-H,-,1,16.61,60,,40,,,145.01425,0
a-Ketoglutarate M4,XIC,C5H6O5,Metabolomics,,ESI,5000,,149.02765,M-H,-,1,16.61,60,,40,,,145.01425,0
a-Ketoglutarate M5,XIC,C5H6O5,Metabolomics,,ESI,5000,,150.031,M-H,-,1,16.61,60,,40,,,145.01425,0
Alanine M0,XIC,C3H7NO2,Metabolomics,,ESI,5000,,90.05495,M+H,+,1,8,60,,40,,,88.039,0
Alanine N1,XIC,C3H7NO3,Metabolomics,,ESI,5000,,91.05198,M+H,+,1,8,60,,40,,,88.039,0
Alanine M1,XIC,C3H7NO2,Metabolomics,,ESI,5000,,91.0583,M+H,+,1,8,60,,40,,,90.05495,0
Alanine M2,XIC,C3H7NO2,Metabolomics,,ESI,5000,,92.06165,M+H,+,1,8,60,,40,,,90.05495,0
Alanine M3,XIC,C3H7NO2,Metabolomics,,ESI,5000,,93.065,M+H,+,1,8,60,,40,,,90.05495,0
Allantoin M0,XIC,C4H6N4O3,Metabolomics,,ESI,5000,,157.03671,M-H,-,1,6.7,60,,40,,,,
Allopurinol M0,XIC,C5H4N4O,Metabolomics,,ESI,5000,,137.04579,M+H,+,1,7.76,60,,40,,,,
Aminohuppuric Acid M0,XIC,C9H10N2O3,Metabolomics,,ESI,5000,,195.07642,M+H,+,1,3.01,60,,40,,,,
AMP M0,XIC,C10H14N5O7P,Metabolomics,,ESI,5000,,348.06963,M+H,+,1,14.2,60,,40,,,346.0559,0
AMP N1,XIC,C10H14N5O7P,Metabolomics,,ESI,5000,,349.06666,M+H,+,1,14.2,60,,40,,,346.0559,0
AMP N2,XIC,C10H14N5O7P,Metabolomics,,ESI,5000,,350.06369,M+H,+,1,14.2,60,,40,,,346.0559,0
AMP N3,XIC,C10H14N5O7P,Metabolomics,,ESI,5000,,351.06072,M+H,+,1,14.2,60,,40,,,346.0559,0
AMP N4,XIC,C10H14N5O7P,Metabolomics,,ESI,5000,,352.05775,M+H,+,1,14.2,60,,40,,,346.0559,0
AMP N5,XIC,C10H14N5O7P,Metabolomics,,ESI,5000,,353.05478,M+H,+,1,14.2,60,,40,,,346.0559,0
AMP M1,XIC,C10H14N5O7P,Metabolomics,,ESI,5000,,349.07298,M+H,+,1,14.2,60,,40,,,348.06963,0
AMP M10,XIC,C10H14N5O7P,Metabolomics,,ESI,5000,,358.10313,M+H,+,1,14.2,60,,40,,,348.06963,0
AMP M2,XIC,C10H14N5O7P,Metabolomics,,ESI,5000,,350.07633,M+H,+,1,14.2,60,,40,,,348.06963,0
AMP M3,XIC,C10H14N5O7P,Metabolomics,,ESI,5000,,351.07968,M+H,+,1,14.2,60,,40,,,348.06963,0
AMP M4,XIC,C10H14N5O7P,Metabolomics,,ESI,5000,,352.08303,M+H,+,1,14.2,60,,40,,,348.06963,0
AMP M5,XIC,C10H14N5O7P,Metabolomics,,ESI,5000,,353.08638,M+H,+,1,14.2,60,,40,,,348.06963,0
AMP M6,XIC,C10H14N5O7P,Metabolomics,,ESI,5000,,354.08973,M+H,+,1,14.2,60,,40,,,348.06963,0
AMP M7,XIC,C10H14N5O7P,Metabolomics,,ESI,5000,,355.09308,M+H,+,1,14.2,60,,40,,,348.06963,0
AMP M8,XIC,C10H14N5O7P,Metabolomics,,ESI,5000,,356.09643,M+H,+,1,14.2,60,,40,,,348.06963,0
AMP M9,XIC,C10H14N5O7P,Metabolomics,,ESI,5000,,357.09978,M+H,+,1,14.2,60,,40,,,348.06963,0
Anthranilic acid (Vitamin L) M0,XIC,C7H7NO2,Metabolomics,,ESI,5000,,138.05495,M+H,+,1,5.67,60,,40,,,,
Arachidonic Acid M0,XIC,C20H32O2,Metabolomics,,ESI,5000,,303.23295,M-H,-,1,4.29,60,,40,,,,
